# Hierarchy: NH Interactions: LNC+LNV M1: 1 DM/M: -8.2 y: -5.9 theta: 1.2 delta: 3.1 phi: 5.2
# t asym mu_e mu_mu mu_tau r11 r22 Re(r12) Im(r12) rb11 rb22 Re(rb12) Im(r12) Smooth-Sphaleron-Asym
2.35042e-05 -1.14005e-25 2.11321e-19 1.48509e-18 -1.6965e-18 0.000869629 0.000875089 -7.02098e-06 0.000872294 0.000869629 0.000875089 -7.02098e-06 -0.000872294 0
2.39392e-05 -1.17669e-25 2.26542e-19 1.59205e-18 -1.81869e-18 0.000885816 0.000891377 -7.15166e-06 0.00088853 0.000885816 0.000891377 -7.15166e-06 -0.00088853 0
2.43786e-05 -1.19656e-25 2.42759e-19 1.70603e-18 -1.94888e-18 0.000902167 0.000907831 -7.28367e-06 0.000904931 0.000902167 0.000907831 -7.28367e-06 -0.000904931 0
2.48224e-05 -1.19953e-25 2.60031e-19 1.82741e-18 -2.08753e-18 0.000918684 0.000924452 -7.41703e-06 0.000921499 0.000918684 0.000924452 -7.41702e-06 -0.000921499 0
2.52706e-05 -1.14304e-25 2.78426e-19 1.95666e-18 -2.23518e-18 0.000935369 0.000941241 -7.55173e-06 0.000938235 0.000935369 0.000941241 -7.55173e-06 -0.000938235 0
2.57234e-05 -1.11792e-25 2.98009e-19 2.09428e-18 -2.39238e-18 0.000952224 0.000958202 -7.68781e-06 0.000955141 0.000952224 0.000958202 -7.68781e-06 -0.000955141 0
2.61806e-05 -1.15236e-25 3.18854e-19 2.24077e-18 -2.55971e-18 0.00096925 0.000975334 -7.82527e-06 0.000972219 0.00096925 0.000975334 -7.82526e-06 -0.000972219 0
2.66424e-05 -1.19805e-25 3.41036e-19 2.39665e-18 -2.73778e-18 0.000986448 0.000992641 -7.96412e-06 0.000989471 0.000986448 0.000992641 -7.96412e-06 -0.000989471 0
2.71088e-05 -1.19864e-25 3.64635e-19 2.5625e-18 -2.92723e-18 0.00100382 0.00101012 -8.10439e-06 0.0010069 0.00100382 0.00101012 -8.10438e-06 -0.0010069 0
2.75799e-05 -1.05362e-25 3.89737e-19 2.73891e-18 -3.12874e-18 0.00102137 0.00102778 -8.24608e-06 0.0010245 0.00102137 0.00102778 -8.24607e-06 -0.0010245 0
